learning_rate;max_steps;batch_size;dnn_hidden_units;optimizer;step;train_acc;train_loss;test_acc;test_loss
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1601;0.8374999761581421;0.4677477180957794;0.5170999765396118;1.9245154857635498
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1701;0.875;0.3754941523075104;0.5159000158309937;2.1016316413879395
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1801;0.9049999713897705;0.33092087507247925;0.5236999988555908;2.1730518341064453
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1901;0.9249999523162842;0.2105867713689804;0.5223000049591064;2.3017899990081787
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2001;0.9399999976158142;0.22060170769691467;0.5149999856948853;2.359882116317749
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2101;0.8799999952316284;0.29181969165802;0.5246999859809875;2.4253616333007812
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2201;0.9474999904632568;0.16648633778095245;0.528499960899353;2.508896827697754
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2301;0.949999988079071;0.14175505936145782;0.529699981212616;2.60969614982605
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2401;0.9674999713897705;0.10131210088729858;0.5259000062942505;2.7217206954956055
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2501;0.9624999761581421;0.13695473968982697;0.5084999799728394;2.868536949157715
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2601;0.9375;0.17737145721912384;0.5196999907493591;2.84609055519104
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2701;0.9524999856948853;0.1137353703379631;0.5220000147819519;2.979421854019165
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2801;0.9350000023841858;0.13906121253967285;0.5209999680519104;2.9784727096557617
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;2901;0.9799999594688416;0.08614066243171692;0.5299000144004822;3.002106189727783
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;3000;0.949999988079071;0.15022018551826477;0.5246999859809875;3.175704002380371
